source,url,date_checked,title,budget,currency,category,offers_count,brief,fits_whom(Vlad/Nastya/both),pay_mode(IP_Nastya/SE_Vlad/clarify),risk(low/med/high),est_hours,effective_rate,verdict(take/skip),boosts_kwork,response_template_id,notes
live_kwork_project_html,https://kwork.ru/projects/3198690,2026-06-16,Сбор базы для B2B-рассылки,30000,RUB,lead_search,1,"Прямо совпадает с B2B, базами, критериями, Telegram/email источниками",Vlad,SE_Vlad,med,8,3750,take,TAKE,vlad_b2b_packaging,"buyer_orders=23; hire_percent=67; risk=Нужна проверка источников и легальность контактов; action=Собери базу: ICP, поля, источники, правила валидации, 20 тестовых строк, отчет о сомнительных источниках"
live_kwork_project_html,https://kwork.ru/projects/3198468,2026-06-16,Асинхронный Python парсер для amoCRM,21000,RUB,crm_leads_automation,1,"Python парсер + amoCRM + лидогенерация, сильная связка для Vlad",Vlad,SE_Vlad,med,12,1750,take,TAKE_WITH_SCOPE,vlad_ai_crm,"buyer_orders=25; hire_percent=41; risk=Риск недооценки real-time и отказоустойчивости; action=Сначала аудит ТЗ, затем MVP-парсер 1 источника, лог ошибок, схема интеграции amoCRM"
live_kwork_project_html,https://kwork.ru/projects/3198558,2026-06-16,Каталог организаций для B2B-предложения,4500,RUB,lead_search,1,Простой тест на сбор базы и фильтры,Vlad,SE_Vlad,low,3,1500,take,TAKE,vlad_b2b_packaging,"buyer_orders=45; hire_percent=57; risk=Низкий чек, нужен быстрый шаблон; action=Собери 50 организаций с источником, сайтом, контактом, причиной попадания и статусом"
live_kwork_project_html,https://kwork.ru/projects/3198001,2026-06-16,AI-агент для обработки входящих заявок,200000,RUB,crm_leads_automation,1,"Стратегически профиль Vlad: заявки, Telegram, WhatsApp, CRM, AI",Vlad,SE_Vlad,high,35,5714,take,DANGER_DISCOVERY_ONLY,vlad_ai_crm,"buyer_orders=1; hire_percent=0; risk=Высокий чек, новый покупатель, нужен контракт и фазы; action=Ответить только на paid discovery: схема потоков, роли, риски, прототип одного канала"
live_kwork_project_html,https://kwork.ru/projects/3197546,2026-06-16,HTML-страница с аналитическими данными,15000,RUB,mixed_business_task,4,Влад может собрать HTML/дашборд/структуру метрик,Vlad,SE_Vlad,low,10,1500,take,TAKE_WITH_SCOPE,short_with_boundaries,"buyer_orders=382; hire_percent=90; risk=Требуется уточнение интеграции с Битрикс; action=Сначала макет данных, затем статическая HTML-страница и список API-долга"
live_kwork_project_html,https://kwork.ru/projects/3197646,2026-06-16,Доработка бота Salebot для ВК и ТГ,15000,RUB,python_parsing_bots,1,"Боты, личный кабинет, рефералы, статусы",Vlad,SE_Vlad,med,10,1500,take,TAKE_IF_DOCS,short_with_boundaries,"buyer_orders=8; hire_percent=20; risk=Зависимость от Salebot и чужих доступов; action=Попросить схему текущего бота, доступ тестовый, список сценариев, логи ошибок"
live_kwork_project_html,https://kwork.ru/projects/3197649,2026-06-16,Заявки с сайта и квиза в amoCRM,15000,RUB,crm_leads_automation,1,"WordPress формы, квиз, amoCRM, лид-логика",Vlad,SE_Vlad,low,8,1875,take,TAKE,vlad_ai_crm,"buyer_orders=7; hire_percent=60; risk=Может быть скрытая серверная часть; action=Сделать аудит форм, карту полей amoCRM, тестовую заявку, чек-лист исправлений"
live_kwork_project_html,https://kwork.ru/projects/3198598,2026-06-16,Доработка карточки клиента в amoCRM,7500,RUB,crm_leads_automation,1,"Малый CRM-функционал, быстрый результат",Vlad,SE_Vlad,low,4,1875,take,TAKE,vlad_ai_crm,"buyer_orders=4; hire_percent=100; risk=Нужен доступ и понимание телефонии; action=Проверить текущую карточку, описать меню Telegram/WhatsApp/Max и отдать схему внедрения"
live_kwork_project_html,https://kwork.ru/projects/3195288,2026-06-16,Синхронизация календаря бронирования WordPress,9000,RUB,wordpress_content_cards,1,WordPress + постановка ТЗ + календарь,Vlad,SE_Vlad,med,6,1500,take,TAKE_IF_PLUGIN,short_with_boundaries,"buyer_orders=4; hire_percent=0; risk=Риск нестандартного плагина/хостинга; action=Попросить сайт, плагин, пример желаемого календаря, доступ staging"
live_kwork_project_html,https://kwork.ru/projects/3198248,2026-06-16,Шаблон оформления кейсов компании,12000,RUB,b2b_packaging,2,Сильное совпадение с упаковкой кейсов и B2B смыслом,Vlad,SE_Vlad,med,6,2000,take,TAKE,vlad_b2b_packaging,"buyer_orders=11; hire_percent=50; risk=Нужны бренд-материалы; action=Собрать структуру кейса: проблема, контекст, решение, цифры, доказательства, CTA"
